G94,See ya next time.,,See ya nex' time.,,,,,,,,,,,,,,,
G95,You wanna go?,,You wanna go?,,,,,,,,,,,,,,,
G96,Nope,,Nope,,,,,,,,,,,,,,,
G97,Yeah okay nevermind,,Yeah okay nevermind,,,,,,,,,,,,,,,
G98,I think we're done,,I think we done,,,,,,,,,,,,,,,
G99,That's just how I talk,,That's just how I talk,,,,,,,,,,,,,,,
G100,,,,,,,,,,,,,,,,,,
G101,Okay I think it's time for us to do the teacher presentation part,,Okay I think it's time for us to do the teacher presentation part,,,,,,,,,,,,,,,
G102,Do you wanna go?,,You wanna go?,,,,,,,,,,,,,,,
G103,All right now do you wanna go?,,All right you wanna go?,,,,,,,,,,,,,,,
G104,What does it matter to you?,,What's it matter to you?,,,,,,,,,,,,,,,
G106,hehehehehehehe,,hehehehehehehe,,,,,,,,,,,,,,,
G107,yuh huh,,yuh huh,,,,,,,,,,,,,,,
G108,No you are,,No you are,,,,,,,,,,,,,,,
G109,Yeah thanks,,Yeah thanks,,,,,,,,,,,,,,,
G110,Um okay,,Um okay,,,,,,,,,,,,,,,
G111,Is not,,Is not,,,,,,,,,,,,,,,
G112,Is so,,Is so,,,,,,,,,,,,,,,
G113,Yeah it does,,Yeah it do,,,,,,,,,,,,,,,
G114,Uh huh,,Uh huh,,,,,,,,,,,,,,,
G115,Big Hero Six,,Big Hero Six,,,,,,,,,,,,,,,
G116,Yeah I just saw it,,Yeah I just saw it,,,,,,,,,,,,,,,
G117,Yeah last weekend,,Yeah last weekend,,,,,,,,,,,,,,,
G118,Breonna,,Breonna,,,,,,,,,,,,,,,
G119,Breonna and Lonny,,Breonna and Lonny,,,,,,,,,,,,,,,
G120,I think we need to go back and do this thing now,,I think we need to go back and do this thing now,,,,,,,,,,,,,,,
G121,I think we're doing good,,I think we doing good,,,,,,,,,,,,,,,
G122,Cool,,Cool,,,,,,,,,,,,,,,
G108,Yeah thanks,,Yeah thanks,,,,,,,,,,,,,,,
AT1a,"Wait, I wanna make sure I get it","Wait, I wanna make sure I get it","Wait, I wanna make sure I get it",,,,,,,,,,,,,AT1v,"start=""sp1:start"" end=""sp1:start+1.93""",
AT1b,"Wait, I wanna make sure I get it","Wait, I wanna make sure I get it","Wait, I wanna make sure I get it",,,,,,,,,,,,,,,
AT1c,"Wait, I wanna make sure I get it","Wait, I wanna make sure I get it","Wait, I wanna make sure I get it",,,,,,,,,,,,,,,
AT2a,Is that the same thing as like,Is that the same thing as like,Is dat the same fing as like,,,,,,,,,,,,,,,
AT2b,Is that the same thing as like,Is that the same thing as like,Is dat the same fing as like,,,,,,,,,,,,,AT2v,"start=""sp1:start"" end=""sp1:start+3.5""",
AT3a,So wait then is it like,So wait den is it like,So wait den is it like,,,,,,,,,,,,,AT3v,"start=""sp1:start"" end=""sp1:start+3.9""",
AT3b,So wait then is it like,So wait den is it like,So wait den is it like,,,,,,,,,,,,,,,
AT4a,"So wait, are you saying","So wait, you sayin'","So wait, you sayin'",,,,,,,,,,,,,,,
AT4b,"So wait, are you saying","So wait, you sayin'","So wait, you sayin'",,,,,,,,,,,,,AT4v,"start=""sp1:start"" end=""sp1:start+4.2""",
AT5a,Oh why?,Oh why?,Oh why?,,,,,,,,,,,,,,,
AT5b,Oh why?,Oh why?,Oh why?,,,,,,,,,,,,,,,
AT5c,Oh why?,Oh why?,Oh why?,,,,,,,,,,,,,,,
AT5d,Oh why?,Oh why?,Oh why?,,,,,,,,,,,,,AT5v,"start=""sp1:start"" end=""sp1:start+2""",
AT6a,"Wait, why is that?","Wait, why dat?","Wait, why dat?",,,,,,,,,,,,,,,
AT6b,"Wait, why is that?","Wait, why dat?","Wait, why dat?",,,,,,,,,,,,,,,
AT6c,"Wait, why is that?","Wait, why dat?","Wait, why dat?",,,,,,,,,,,,,,,
AT6d,"Wait, why is that?","Wait, why dat?","Wait, why dat?",,,,,,,,,,,,,AT6v,"start=""sp1:start"" end=""sp1:start+2.3""",
AT7,How do you know?,How you know?,How you know?,,,,,,,,,,,,,AT7v,"start=""sp1:start"" end=""sp1:start+1.4""",
